name,description,star_id,planet_type_id,surface_g_in_m_per_s2,diameter_in_km,mean_surface_temp_in_c,has_ring_system,has_global_magnetic_field
Mercury,,1,2,3.7,4879,167,FALSE,TRUE
Venus,,1,2,8.9,12104,464,FALSE,FALSE
Earth,,1,2,9.8,12756,15,FALSE,TRUE
Mars,,1,2,3.7,6792,-65,FALSE,FALSE
Jupiter,,1,1,23.1,142984,-110,TRUE,TRUE
Saturn,,1,1,9.0,120536,-140,TRUE,TRUE
Uranus,,1,4,8.7,51118,-195,TRUE,TRUE
Neptune,,1,4,11.0,49528,-200,TRUE,TRUE
Ceres,,1,3,0.27,939,-106,FALSE,
Pluto,,1,3,0.62,2376,-225,FALSE,
Haumea,,1,3,0.63,1240,-223,TRUE,
Makemake,,1,3,0.40,1430,-243,,
Eris,,1,3,0.82,2326,-243,,
Orcus,,1,3,0.27,958,-231,,
Salacia,,1,3,0.18,850,-231,,
Quaoar,,1,3,0.24,1121,-232,,
Gonggong,,1,3,0.285,1230,-243,,
Sedna,,1,3,,1000,-261,,
Kepler-186f,,8,5,,15000,-85,,
Kepler-452b,,9,5,,19000,-8,,
